sub_material,target_count,download_count,target_met,download_path
rapid antigen tests (rats),19,19,TRUE,geelong-recycling-instructions/images/dropoff/rapid antigen tests (rats)
metal cutlery,19,19,TRUE,geelong-recycling-instructions/images/dropoff/metal cutlery
hot water service,19,19,TRUE,geelong-recycling-instructions/images/dropoff/hot water service
rocks - small,19,19,TRUE,geelong-recycling-instructions/images/dropoff/rocks - small
sharps (syringes and needles),19,19,TRUE,geelong-recycling-instructions/images/dropoff/sharps (syringes and needles)
frypan,19,19,TRUE,geelong-recycling-instructions/images/dropoff/frypan
building rubble,19,19,TRUE,geelong-recycling-instructions/images/dropoff/building rubble
blister packs,19,19,TRUE,geelong-recycling-instructions/images/dropoff/blister packs
plastic toys,19,19,TRUE,geelong-recycling-instructions/images/dropoff/plastic toys
blankets,19,19,TRUE,geelong-recycling-instructions/images/dropoff/blankets
polystyrene,19,19,TRUE,geelong-recycling-instructions/images/dropoff/polystyrene
polystyrene packaging,19,19,TRUE,geelong-recycling-instructions/images/dropoff/polystyrene packaging
plastic buckets,19,19,TRUE,geelong-recycling-instructions/images/dropoff/plastic buckets
reading glasses and spectacles,19,19,TRUE,geelong-recycling-instructions/images/dropoff/reading glasses and spectacles
toothpaste tube,19,19,TRUE,geelong-recycling-instructions/images/dropoff/toothpaste tube
coat hangers - wire,19,19,TRUE,geelong-recycling-instructions/images/dropoff/coat hangers - wire
washing basket,19,19,TRUE,geelong-recycling-instructions/images/dropoff/washing basket
oral care products,19,19,TRUE,geelong-recycling-instructions/images/dropoff/oral care products
charities,19,19,TRUE,geelong-recycling-instructions/images/dropoff/charities
golf clubs,19,19,TRUE,geelong-recycling-instructions/images/dropoff/golf clubs
playstation consoles,19,19,TRUE,geelong-recycling-instructions/images/dropoff/playstation consoles
"prams, car seats and other baby items",19,19,TRUE,"geelong-recycling-instructions/images/dropoff/prams, car seats and other baby items"
record players,19,19,TRUE,geelong-recycling-instructions/images/dropoff/record players
laserlite sheets,19,19,TRUE,geelong-recycling-instructions/images/dropoff/laserlite sheets
tshirts,19,19,TRUE,geelong-recycling-instructions/images/dropoff/tshirts
carpet,19,18,FALSE,geelong-recycling-instructions/images/dropoff/carpet
dvds,19,19,TRUE,geelong-recycling-instructions/images/dropoff/dvds
disposable razor blades,19,19,TRUE,geelong-recycling-instructions/images/dropoff/disposable razor blades
dental floss containers,19,19,TRUE,geelong-recycling-instructions/images/dropoff/dental floss containers
clothing,19,19,TRUE,geelong-recycling-instructions/images/dropoff/clothing
cushions,19,19,TRUE,geelong-recycling-instructions/images/dropoff/cushions
disposable face coverings and surgical masks,19,19,TRUE,geelong-recycling-instructions/images/dropoff/disposable face coverings and surgical masks
sheets,19,19,TRUE,geelong-recycling-instructions/images/dropoff/sheets
"shoes, runners, sneakers",19,19,TRUE,"geelong-recycling-instructions/images/dropoff/shoes, runners, sneakers"
textiles,19,19,TRUE,geelong-recycling-instructions/images/dropoff/textiles
coat hangers - plastic,19,19,TRUE,geelong-recycling-instructions/images/dropoff/coat hangers - plastic
cds,19,19,TRUE,geelong-recycling-instructions/images/dropoff/cds
towels,19,19,TRUE,geelong-recycling-instructions/images/dropoff/towels
fencing wire,19,19,TRUE,geelong-recycling-instructions/images/dropoff/fencing wire
sewing machines,19,19,TRUE,geelong-recycling-instructions/images/dropoff/sewing machines
chicken wire,19,19,TRUE,geelong-recycling-instructions/images/dropoff/chicken wire
fire extinguishers,19,19,TRUE,geelong-recycling-instructions/images/dropoff/fire extinguishers
pesticides,19,19,TRUE,geelong-recycling-instructions/images/dropoff/pesticides
paint thinner & turps,19,19,TRUE,geelong-recycling-instructions/images/dropoff/paint thinner & turps
paint stripper,19,19,TRUE,geelong-recycling-instructions/images/dropoff/paint stripper
paint,19,19,TRUE,geelong-recycling-instructions/images/dropoff/paint
oven cleaner,19,19,TRUE,geelong-recycling-instructions/images/dropoff/oven cleaner
nail polish & remover,19,19,TRUE,geelong-recycling-instructions/images/dropoff/nail polish & remover
motor oil,19,18,FALSE,geelong-recycling-instructions/images/dropoff/motor oil
herbicides,19,19,TRUE,geelong-recycling-instructions/images/dropoff/herbicides
hazardous waste,19,19,TRUE,geelong-recycling-instructions/images/dropoff/hazardous waste
